Value.BackgroundVolume,Value.ElapsedTime,Value.Letter,Value.Repetitions,Value.Scenario,Value.Success,Value.Time,Value.ToolEnded,Value.TrialID,Value.Type,Value.VolumeIncreases
,,,,"[""RhythmScene"",""RhythmScene"",""RhythmScene"",""RhythmScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""FingerFollowScene"",""EyeContrastScene"",""EyeContrastScene"",""EyeContrastScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""SpeechPerceptionScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""FingerNoseScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""EverydayTaskScene"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""PegboardSphereScene_AutoHand"",""VibrationScene"",""VibrationScene"",""VibrationScene""]",,2022-10-12 11:29:15 AM,,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,ApplicationStart,
,0,,2,,,2022-10-12 11:39:49 AM,false,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,SpeechPerceptionConfig,6
0.10000000149011612,3258,H,,,true,2022-10-12 11:39:52 AM,,,SpeechPerceptionData,
0.10000000149011612,6153,F,,,true,2022-10-12 11:39:55 AM,,,SpeechPerceptionData,
0.4000000059604645,8743,V,,,true,2022-10-12 11:39:58 AM,,,SpeechPerceptionData,
0.4000000059604645,11388,H,,,true,2022-10-12 11:40:00 AM,,,SpeechPerceptionData,
0.699999988079071,14228,A,,,true,2022-10-12 11:40:03 AM,,,SpeechPerceptionData,
0.699999988079071,17722,V,,,true,2022-10-12 11:40:07 AM,,,SpeechPerceptionData,
1,21008,H,,,true,2022-10-12 11:40:10 AM,,,SpeechPerceptionData,
1,23430,V,,,true,2022-10-12 11:40:12 AM,,,SpeechPerceptionData,
1.2999999523162842,25825,V,,,true,2022-10-12 11:40:15 AM,,,SpeechPerceptionData,
1.2999999523162842,29069,A,,,true,2022-10-12 11:40:18 AM,,,SpeechPerceptionData,
1.2999999523162842,31923,X,,,true,2022-10-12 11:40:21 AM,,,SpeechPerceptionData,
1.2999999523162842,34610,X,,,true,2022-10-12 11:40:24 AM,,,SpeechPerceptionData,
,34610,,2,,,2022-10-12 11:40:24 AM,true,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,SpeechPerceptionConfig,6
,0,,2,,,2022-10-12 11:40:29 AM,false,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,SpeechPerceptionConfig,6
0.10000000149011612,2729,A,,,true,2022-10-12 11:40:32 AM,,,SpeechPerceptionData,
0.10000000149011612,5417,F,,,true,2022-10-12 11:40:34 AM,,,SpeechPerceptionData,
0.4000000059604645,13115,H,,,true,2022-10-12 11:40:42 AM,,,SpeechPerceptionData,
0.4000000059604645,16081,A,,,true,2022-10-12 11:40:45 AM,,,SpeechPerceptionData,
0.699999988079071,19130,V,,,true,2022-10-12 11:40:48 AM,,,SpeechPerceptionData,
0.699999988079071,21441,V,,,true,2022-10-12 11:40:50 AM,,,SpeechPerceptionData,
1,27427,A,,,true,2022-10-12 11:40:56 AM,,,SpeechPerceptionData,
1,30560,A,,,true,2022-10-12 11:40:59 AM,,,SpeechPerceptionData,
1.2999999523162842,33274,A,,,true,2022-10-12 11:41:02 AM,,,SpeechPerceptionData,
1.2999999523162842,35947,A,,,true,2022-10-12 11:41:05 AM,,,SpeechPerceptionData,
1.2999999523162842,38412,V,,,true,2022-10-12 11:41:07 AM,,,SpeechPerceptionData,
1.2999999523162842,41029,H,,,true,2022-10-12 11:41:10 AM,,,SpeechPerceptionData,
,41029,,2,,,2022-10-12 11:41:10 AM,true,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,SpeechPerceptionConfig,6
,0,,2,,,2022-10-12 11:41:13 AM,false,147bce00-d1a4-4b8d-90b5-c0195cc6fa23,SpeechPerceptionConfig,6
0.10000000149011612,3301,H,,,true,2022-10-12 11:41:16 AM,,,SpeechPerceptionData,
0.10000000149011612,6434,F,,,true,2022-10-12 11:41:19 AM,,,SpeechPerceptionData,
